upazila_id,name,district_id
609162,SYLHET,6091
609108,BALAGANJ,6091
609117,BEANI BAZAR,6091
609120,BISHWANATH,6091
609127,COMPANIGANJ,6091
609131,DAKSHIN SURMA,6091
609135,FENCHUGANJ,6091
609138,GOLAPGANJ,6091
609141,GOWAINGHAT,6091
609153,JAINTIAPUR,6091
609159,KANAIGHAT,6091
609194,ZAKIGANJ,6091
603644,HABIGANJ,6036
603602,AJMIRIGANJ,6036
603605,BAHUBAL,6036
603611,BANIACHONG,6036
603626,CHUNARUGHAT,6036
603668,LAKHAI,6036
603671,MADHABPUR,6036
603677,NABIGANJ,6036
605874,MAULVIBAZAR,6058
605814,BARLEKHA,6058
605835,JURI,6058
605856,KAMALGANJ,6058
605865,KULAURA,6058
605880,RAJNAGAR,6058
605883,SREEMANGAL,6058
609089,SUNAMGANJ,6090
609018,BISHWAMBARPUR,6090
609023,CHHATAK,6090
609027,DAKSHIN SUNAMGANJ,6090
609029,DERAI,6090
609032,DHARAMPASHA,6090
609033,DOWARABAZAR,6090
609047,JAGANNATHPUR,6090
609050,JAMALGANJ,6090
609086,SULLA,6090
609092,TAHIRPUR,6090
558549,RANGPUR,5585
558503,BADARGANJ,5585
558527,GANGACHARA,5585
558542,KAUNIA,5585
558558,MITHA PUKUR,5585
558573,PIRGACHHA,5585
558576,PIRGANJ,5585
558592,TARAGANJ,5585
552764,DINAJPUR,5527
552710,BIRAMPUR,5527
552712,BIRGANJ,5527
552717,BIRAL,5527
552721,BOCHAGANJ,5527
552730,CHIRIRBANDAR,5527
552738,FULBARI,5527
552743,GHORAGHAT,5527
552747,HAKIMPUR,5527
552756,KAHAROLE,5527
552760,KHANSAMA,5527
552769,NAWABGANJ,5527
552777,PARBATIPUR,5527
553224,GAIBANDHA,5532
553221,FULCHHARI,5532
553230,GOBINDAGANJ,5532
553267,PALASHBARI,5532
553282,SADULLAPUR,5532
553288,SAGHATA,5532
553291,SUNDARGANJ,5532
554952,KURIGRAM,5549
554906,BHURUNGAMARI,5549
554908,CHAR RAJIBPUR,5549
554909,CHILMARI,5549
554918,PHULBARI,5549
554961,NAGESHWARI,5549
554977,RAJARHAT,5549
554979,RAUMARI,5549
554994,ULIPUR,5549
555255,LALMONIRHAT,5552
555202,ADITMARI,5552
